generation,unique_strains,population_size,diversity_ratio
10,408,1000,0.408
20,428,1000,0.428
30,437,1000,0.437
40,442,1000,0.442
50,426,1000,0.426
60,437,1000,0.437
70,440,1000,0.44
80,431,1000,0.431
90,427,1000,0.427
100,419,1000,0.419
110,427,1000,0.427
120,420,1000,0.42
130,424,1000,0.424
140,430,1000,0.43
150,429,1000,0.429
160,380,1000,0.38
170,425,1000,0.425
180,419,1000,0.419
190,444,1000,0.444
200,444,1000,0.444
210,452,1000,0.452
220,453,1000,0.453
230,463,1000,0.463
240,435,1000,0.435
250,456,1000,0.456
260,462,1000,0.462
270,456,1000,0.456
280,457,1000,0.457
290,456,1000,0.456
300,485,1000,0.485
310,454,1000,0.454
320,446,1000,0.446
330,465,1000,0.465
340,444,1000,0.444
350,472,1000,0.472
360,448,1000,0.448
370,453,1000,0.453
380,448,1000,0.448
390,453,1000,0.453
400,444,1000,0.444
410,442,1000,0.442
420,464,1000,0.464
430,441,1000,0.441
440,459,1000,0.459
450,446,1000,0.446
460,447,1000,0.447
470,440,1000,0.44
480,455,1000,0.455
490,441,1000,0.441
500,433,1000,0.433
510,469,1000,0.469
520,455,1000,0.455
530,449,1000,0.449
540,426,1000,0.426
550,435,1000,0.435
560,467,1000,0.467
570,475,1000,0.475
580,464,1000,0.464
590,467,1000,0.467
600,458,1000,0.458
610,432,1000,0.432
620,441,1000,0.441
630,462,1000,0.462
640,436,1000,0.436
650,469,1000,0.469
660,452,1000,0.452
670,432,1000,0.432
680,446,1000,0.446
690,462,1000,0.462
700,463,1000,0.463
710,473,1000,0.473
720,448,1000,0.448
730,432,1000,0.432
740,445,1000,0.445
750,423,1000,0.423
760,445,1000,0.445
770,433,1000,0.433
780,445,1000,0.445
790,449,1000,0.449
800,455,1000,0.455
810,470,1000,0.47
820,493,1000,0.493
830,485,1000,0.485
840,483,1000,0.483
850,452,1000,0.452
860,477,1000,0.477
870,495,1000,0.495
880,485,1000,0.485
890,494,1000,0.494
900,485,1000,0.485
910,505,1000,0.505
920,511,1000,0.511
930,504,1000,0.504
940,500,1000,0.5
950,480,1000,0.48
960,492,1000,0.492
970,475,1000,0.475
980,492,1000,0.492
990,479,1000,0.479
1000,479,1000,0.479
1010,456,1000,0.456
1020,485,1000,0.485
1030,479,1000,0.479
1040,487,1000,0.487
1050,501,1000,0.501
1060,494,1000,0.494
1070,465,1000,0.465
1080,502,1000,0.502
1090,483,1000,0.483
1100,477,1000,0.477
